id_bairro,cd_geocmu,nome_bairro,numpoints,fonte,data_atualizacao
400033792,5208707,Setor Bueno,20,SMS-Goiânia,2020-04-15
400018492,5208707,Setor Oeste,19,SMS-Goiânia,2020-04-15
400007992,5208707,Setor Jaó,8,SMS-Goiânia,2020-04-15
400046398,5208707,Jd. Valência,6,SMS-Goiânia,2020-04-15
400033192,5208707,Jd. Goiás,6,SMS-Goiânia,2020-04-15
400033692,5208707,Setor Marista,6,SMS-Goiânia,2020-04-15
400019492,5208707,Setor Aeroporto,5,SMS-Goiânia,2020-04-15
400012992,5208707,Setor Leste Universitário,5,SMS-Goiânia,2020-04-15
400034192,5208707,Jardim América,5,SMS-Goiânia,2020-04-15
400031492,5208707,Setor Central,4,SMS-Goiânia,2020-04-15
400005792,5208707,Jd. Guanabara,4,SMS-Goiânia,2020-04-15
400011092,5208707,Setor Negrão de Lima,3,SMS-Goiânia,2020-04-15
400046010,5208707,Alphaville Flamboyant,3,SMS-Goiânia,2020-04-15
400046007,5208707,Res. Aldeia do Vale,2,SMS-Goiânia,2020-04-15
400045907,5208707,Res. Jardim Florença,2,SMS-Goiânia,2020-04-15
400033292,5208707,Setor Sul,2,SMS-Goiânia,2020-04-15
400046146,5208707,Res. Jardins Milão,2,SMS-Goiânia,2020-04-15
400033592,5208707,Setor Pedro Ludovico,2,SMS-Goiânia,2020-04-15
400010292,5208707,Parque Industrial de Goiânia,2,SMS-Goiânia,2020-04-15
400032392,5208707,Jd. Novo Mundo,2,SMS-Goiânia,2020-04-15
400045916,5208707,Res. Recanto do Bosque,2,SMS-Goiânia,2020-04-15
400046125,5208707,Parque das Laranjeiras Acréscimo,2,SMS-Goiânia,2020-04-15
400034292,5208707,Parque Amazônia,2,SMS-Goiânia,2020-04-15
400007792,5208707,Setor Perim,1,SMS-Goiânia,2020-04-15
400021292,5208707,Setor dos Afonsos,1,SMS-Goiânia,2020-04-15
400046455,5208707,Res. Mundo Novo 1,1,SMS-Goiânia,2020-04-15
400046012,5208707,Portal do Sol II,1,SMS-Goiânia,2020-04-15
400027092,5208707,Res. Eldorado,1,SMS-Goiânia,2020-04-15
400045908,5208707,São Domingos,1,SMS-Goiânia,2020-04-15
400046216,5208707,Res. Real Conquista,1,SMS-Goiânia,2020-04-15
400025092,5208707,Ipiranga,1,SMS-Goiânia,2020-04-15
400046084,5208707,Cond. das Esmeraldas,1,SMS-Goiânia,2020-04-15
400007492,5208707,Capuava,1,SMS-Goiânia,2020-04-15
400024892,5208707,Setor Candida de Morais,1,SMS-Goiânia,2020-04-15
400046248,5208707,Dis Vila Rica,1,SMS-Goiânia,2020-04-15
400020892,5208707,Nova Suiça,1,SMS-Goiânia,2020-04-15
400029592,5208707,Vila Maria Dilce,1,SMS-Goiânia,2020-04-15
400017192,5208707,Cidade Jardim,1,SMS-Goiânia,2020-04-15
400045944,5208707,Res. Itália,1,SMS-Goiânia,2020-04-15
400020792,5208707,Jd. Planalto,1,SMS-Goiânia,2020-04-15
400045969,5208707,Res. Forteville,1,SMS-Goiânia,2020-04-15
400045982,5208707,Setor Solar Santa Rita,1,SMS-Goiânia,2020-04-15
400027592,5208707,Celina Park,1,SMS-Goiânia,2020-04-15
400023392,5208707,Jd. Bela Vista,1,SMS-Goiânia,2020-04-15
400006392,5208707,Santa Genoveva,1,SMS-Goiânia,2020-04-15
400021792,5208707,Vila Maria José,1,SMS-Goiânia,2020-04-15
400017692,5208707,Vila Alpes,1,SMS-Goiânia,2020-04-15
400038092,5208707,Chácara Samambaia,1,SMS-Goiânia,2020-04-15
