id,cd_geocmu,data,confirmados,suspeitos,obitos
1,5208707,2020-03-18,5,,
2,5218805,2020-03-18,3,,
3,5201108,2020-03-18,2,,
4,5211909,2020-03-18,1,,
5,5201405,2020-03-18,1,,
6,5300108,2020-03-18,34,,
7,5208707,2020-03-19,7,,
8,5218805,2020-03-19,3,,
9,5201108,2020-03-19,2,,
10,5211909,2020-03-19,1,,
11,5201405,2020-03-19,1,,
12,5300108,2020-03-19,42,,
13,5208707,2020-03-20,9,,
14,5218805,2020-03-20,3,,
15,5201108,2020-03-20,2,,
16,5211909,2020-03-20,1,,
17,5201405,2020-03-20,1,,
18,5300108,2020-03-20,87,,
19,5208707,2020-03-21,9,,
20,5218805,2020-03-21,5,,
21,5201108,2020-03-21,2,,
22,5211909,2020-03-21,1,,
23,5201405,2020-03-21,1,,
24,5300108,2020-03-21,112,,
25,5208707,2020-03-22,11,,
26,5218805,2020-03-22,5,,
27,5201108,2020-03-22,2,,
28,5211909,2020-03-22,1,,
29,5201405,2020-03-22,1,,
30,5300108,2020-03-22,117,,
31,5205109,2020-03-22,1,,
32,5208707,2020-03-23,12,,
33,5218805,2020-03-23,5,,
34,5201108,2020-03-23,2,,
35,5211909,2020-03-23,1,,
36,5201405,2020-03-23,2,,
37,5300108,2020-03-23,138,,
38,5205109,2020-03-23,1,,
39,5208707,2020-03-24,15,,
40,5218805,2020-03-24,5,,
41,5201108,2020-03-24,3,,
42,5211909,2020-03-24,1,,
43,5201405,2020-03-24,2,,
44,5300108,2020-03-24,146,,
45,5205109,2020-03-24,1,,
46,5221858,2020-03-24,1,,
47,5208707,2020-03-25,15,,
48,5218805,2020-03-25,6,,
49,5201108,2020-03-25,3,,
50,5211909,2020-03-25,1,,
51,5201405,2020-03-25,2,,
52,5205109,2020-03-25,1,,
53,5221858,2020-03-25,2,,
54,5220603,2020-03-25,1,,
55,5212501,2020-03-25,1,,
56,5300108,2020-03-25,191,,
57,5208707,2020-03-26,21,,
58,5218805,2020-03-26,6,,
59,5201108,2020-03-26,3,,
60,5211909,2020-03-26,1,,
61,5201405,2020-03-26,2,,
62,5205109,2020-03-26,1,,
63,5221858,2020-03-26,2,,
64,5220603,2020-03-26,1,,
65,5212501,2020-03-26,1,,1
66,5300108,2020-03-26,198,,
67,5208707,2020-03-27,26,,
68,5218805,2020-03-27,6,,
69,5201108,2020-03-27,3,,
70,5211909,2020-03-27,1,,
71,5201405,2020-03-27,2,,
72,5205109,2020-03-27,1,,
73,5221858,2020-03-27,2,,
74,5220603,2020-03-27,1,,
75,5212501,2020-03-27,1,,1
76,5300108,2020-03-27,240,,
77,5208707,2020-03-28,33,,
78,5218805,2020-03-28,7,,
79,5201108,2020-03-28,4,,
80,5211909,2020-03-28,2,,
81,5201405,2020-03-28,2,,
82,5205109,2020-03-28,1,,
83,5221858,2020-03-28,2,,
84,5220603,2020-03-28,1,,
85,5212501,2020-03-28,1,,1
86,5200258,2020-03-28,1,,
87,5208608,2020-03-28,1,,
88,5300108,2020-03-28,258,,
89,5208707,2020-03-29,33,,
90,5218805,2020-03-29,7,,
91,5201108,2020-03-29,4,,
92,5211909,2020-03-29,2,,
93,5201405,2020-03-29,2,,
94,5205109,2020-03-29,1,,
95,5221858,2020-03-29,2,,
96,5220603,2020-03-29,1,,
97,5212501,2020-03-29,1,,1
98,5200258,2020-03-29,1,,
99,5208608,2020-03-29,1,,
100,5300108,2020-03-29,260,,
101,5208707,2020-03-30,35,,
102,5218805,2020-03-30,7,,
103,5201108,2020-03-30,4,,
104,5211909,2020-03-30,2,,
105,5201405,2020-03-30,2,,
106,5205109,2020-03-30,1,,
107,5221858,2020-03-30,2,,
108,5220603,2020-03-30,1,,
109,5212501,2020-03-30,1,,1
110,5200258,2020-03-30,1,,
111,5208608,2020-03-30,1,,
112,5211503,2020-03-30,2,,
113,5300108,2020-03-30,289,,
114,5208707,2020-03-31,39,,
115,5218805,2020-03-31,7,,
116,5201108,2020-03-31,4,,
117,5211909,2020-03-31,2,,
118,5201405,2020-03-31,2,,
119,5205109,2020-03-31,1,,
120,5221858,2020-03-31,3,,
121,5220603,2020-03-31,1,,
122,5212501,2020-03-31,1,,1
123,5200258,2020-03-31,1,,
124,5208608,2020-03-31,1,,
125,5211503,2020-03-31,2,,
126,5216304,2020-03-31,1,,
127,5300108,2020-03-31,317,,
128,111,2020-03-31,,2546,
129,5208707,2020-04-01,42,,
130,5218805,2020-04-01,7,,
131,5201108,2020-04-01,4,,
132,5211909,2020-04-01,2,,
133,5201405,2020-04-01,2,,
134,5205109,2020-04-01,1,,
135,5221858,2020-04-01,4,,
136,5220603,2020-04-01,1,,
137,5212501,2020-04-01,1,,1
138,5200258,2020-04-01,1,,
139,5208608,2020-04-01,1,,
140,5211503,2020-04-01,2,,
141,5216304,2020-04-01,1,,
142,5205497,2020-04-01,1,,
143,5221403,2020-04-01,1,,
144,5204607,2020-04-01,1,,
145,5204508,2020-04-01,1,,
146,5300108,2020-04-01,370,,
147,111,2020-04-01,,2333,
