gip,ordem_dia,data,codigo_estadual,estados,obitos,novos_casos,total_casos
1,1,17/03/2020,12,AC,0,3,3
2,3,19/03/2020,12,AC,0,1,4
3,13,29/03/2020,12,AC,0,9,34
4,18,03/04/2020,12,AC,0,1,46
5,20,05/04/2020,12,AC,0,2,48
6,4,20/03/2020,12,AC,0,3,7
7,14,30/03/2020,12,AC,0,8,42
8,7,23/03/2020,12,AC,0,6,17
9,19,04/04/2020,12,AC,0,0,46
10,2,18/03/2020,12,AC,0,0,3
11,5,21/03/2020,12,AC,0,4,11
12,6,22/03/2020,12,AC,0,0,11
13,22,07/04/2020,12,AC,1,0,50
14,16,01/04/2020,12,AC,0,1,43
15,9,25/03/2020,12,AC,0,2,23
16,8,24/03/2020,12,AC,0,4,21
17,15,31/03/2020,12,AC,0,0,42
18,10,26/03/2020,12,AC,0,1,24
19,11,27/03/2020,12,AC,0,1,25
20,17,02/04/2020,12,AC,0,2,45
21,21,06/04/2020,12,AC,0,2,50
22,12,28/03/2020,12,AC,0,0,25
23,22,29/03/2020,27,AL,0,3,17
24,6,13/03/2020,27,AL,0,0,1
25,7,14/03/2020,27,AL,0,0,1
26,30,06/04/2020,27,AL,2,3,31
27,5,12/03/2020,27,AL,0,0,1
28,27,03/04/2020,27,AL,2,5,23
29,21,28/03/2020,27,AL,0,3,14
30,11,18/03/2020,27,AL,0,0,1
31,10,17/03/2020,27,AL,0,0,1
32,17,24/03/2020,27,AL,0,2,10
33,28,04/04/2020,27,AL,2,0,23
34,24,31/03/2020,27,AL,1,1,18
35,1,08/03/2020,27,AL,0,1,1
36,20,27/03/2020,27,AL,0,0,11
37,12,19/03/2020,27,AL,0,3,4
38,16,23/03/2020,27,AL,0,1,8
39,9,16/03/2020,27,AL,0,0,1
40,13,20/03/2020,27,AL,0,2,6
41,25,01/04/2020,27,AL,1,0,18
42,3,10/03/2020,27,AL,0,0,1
43,15,22/03/2020,27,AL,0,0,7
44,19,26/03/2020,27,AL,0,0,11
45,4,11/03/2020,27,AL,0,0,1
46,23,30/03/2020,27,AL,0,0,17
47,31,07/04/2020,27,AL,2,3,34
48,14,21/03/2020,27,AL,0,1,7
49,18,25/03/2020,27,AL,0,1,11
50,26,02/04/2020,27,AL,1,0,18
51,2,09/03/2020,27,AL,0,0,1
52,8,15/03/2020,27,AL,0,0,1
53,29,05/04/2020,27,AL,2,5,28
54,2,14/03/2020,13,AM,0,0,1
55,10,22/03/2020,13,AM,0,15,26
56,23,04/04/2020,13,AM,12,51,311
57,5,17/03/2020,13,AM,0,1,2
58,11,23/03/2020,13,AM,0,6,32
59,3,15/03/2020,13,AM,0,0,1
60,24,05/04/2020,13,AM,14,106,417
61,13,25/03/2020,13,AM,1,7,54
62,22,03/04/2020,13,AM,7,31,260
63,20,01/04/2020,13,AM,3,25,200
64,9,21/03/2020,13,AM,0,4,11
65,17,29/03/2020,13,AM,1,29,140
66,12,24/03/2020,13,AM,0,15,47
67,21,02/04/2020,13,AM,3,29,229
68,25,06/04/2020,13,AM,19,115,532
69,1,13/03/2020,13,AM,0,1,1
70,16,28/03/2020,13,AM,1,30,111
71,15,27/03/2020,13,AM,1,14,81
72,19,31/03/2020,13,AM,3,24,175
73,26,07/04/2020,13,AM,23,104,636
74,4,16/03/2020,13,AM,0,0,1
75,6,18/03/2020,13,AM,0,0,2
76,7,19/03/2020,13,AM,0,1,3
77,18,30/03/2020,13,AM,1,11,151
78,14,26/03/2020,13,AM,1,13,67
79,8,20/03/2020,13,AM,0,4,7
80,14,02/04/2020,16,AP,0,1,12
81,10,29/03/2020,16,AP,0,4,8
82,9,28/03/2020,16,AP,0,1,4
83,19,07/04/2020,16,AP,2,17,51
84,8,27/03/2020,16,AP,0,1,3
85,13,01/04/2020,16,AP,0,1,11
86,18,06/04/2020,16,AP,2,2,34
87,3,22/03/2020,16,AP,0,0,1
88,11,30/03/2020,16,AP,0,0,8
89,15,03/04/2020,16,AP,0,7,19
90,12,31/03/2020,16,AP,0,2,10
91,16,04/04/2020,16,AP,1,10,29
92,17,05/04/2020,16,AP,2,3,32
93,6,25/03/2020,16,AP,0,1,2
94,4,23/03/2020,16,AP,0,0,1
95,2,21/03/2020,16,AP,0,0,1
96,1,20/03/2020,16,AP,0,1,1
97,5,24/03/2020,16,AP,0,0,1
98,7,26/03/2020,16,AP,0,0,2
99,30,04/04/2020,29,BA,7,46,336
100,3,08/03/2020,29,BA,0,0,2
101,31,05/04/2020,29,BA,9,65,401
102,9,14/03/2020,29,BA,0,0,7
103,29,03/04/2020,29,BA,5,23,290
104,27,01/04/2020,29,BA,2,29,246
105,10,15/03/2020,29,BA,0,2,9
106,21,26/03/2020,29,BA,0,17,108
107,14,19/03/2020,29,BA,0,4,31
108,7,12/03/2020,29,BA,0,0,3
109,15,20/03/2020,29,BA,0,3,34
110,5,10/03/2020,29,BA,0,0,2
111,26,31/03/2020,29,BA,2,41,217
112,18,23/03/2020,29,BA,0,8,63
113,19,24/03/2020,29,BA,0,16,79
114,28,02/04/2020,29,BA,3,21,267
115,6,11/03/2020,29,BA,0,1,3
116,23,28/03/2020,29,BA,0,5,127
117,22,27/03/2020,29,BA,0,14,122
118,33,07/04/2020,29,BA,12,25,462
119,20,25/03/2020,29,BA,0,12,91
120,25,30/03/2020,29,BA,1,20,176
121,17,22/03/2020,29,BA,0,14,55
122,2,07/03/2020,29,BA,0,1,2
123,32,06/04/2020,29,BA,10,36,437
124,12,17/03/2020,29,BA,0,6,16
125,1,06/03/2020,29,BA,0,1,1
126,13,18/03/2020,29,BA,0,11,27
127,4,09/03/2020,29,BA,0,0,2
128,16,21/03/2020,29,BA,0,7,41
129,8,13/03/2020,29,BA,0,4,7
130,24,29/03/2020,29,BA,1,29,156
131,11,16/03/2020,29,BA,0,1,10
132,29,30/03/2020,1058,Brasil,159,341,4663
133,3,04/03/2020,1058,Brasil,0,1,3
134,22,23/03/2020,1058,Brasil,34,339,1959
135,37,07/04/2020,1058,Brasil,667,1849,14085
136,8,09/03/2020,1058,Brasil,0,5,30
137,26,27/03/2020,1058,Brasil,92,486,3472
138,4,05/03/2020,1058,Brasil,0,5,8
139,23,24/03/2020,1058,Brasil,46,310,2269
140,35,05/04/2020,1058,Brasil,486,906,11284
141,6,07/03/2020,1058,Brasil,0,6,19
142,34,04/04/2020,1058,Brasil,432,1178,10378
143,25,26/03/2020,1058,Brasil,77,420,2986
144,27,28/03/2020,1058,Brasil,114,462,3934
145,15,16/03/2020,1058,Brasil,0,70,301
146,16,17/03/2020,1058,Brasil,1,62,363
147,30,31/03/2020,1058,Brasil,201,1167,5830
148,12,13/03/2020,1058,Brasil,0,11,120
149,2,29/02/2020,1058,Brasil,0,1,2
150,24,25/03/2020,1058,Brasil,57,297,2566
151,17,18/03/2020,1058,Brasil,4,172,535
152,36,06/04/2020,1058,Brasil,553,952,12236
153,28,29/03/2020,1058,Brasil,136,388,4322
154,1,25/02/2020,1058,Brasil,0,1,1
155,13,14/03/2020,1058,Brasil,0,27,147
156,14,15/03/2020,1058,Brasil,0,84,231
157,33,03/04/2020,1058,Brasil,359,1101,9200
158,20,21/03/2020,1058,Brasil,18,193,1205
159,5,06/03/2020,1058,Brasil,0,5,13
