cd_geocmu,municipios,populacao,data_inicial,total_dias,confirmado_inicial,confirmados,confirmados_novos,media_novos_casos_3dias,taxa_crescimento_confirmados,dias_duplicacao_confirmados
52,GOIÁS,7018354,2020-03-18,21,12,133,14,10,0.1203797634,5.758004179
5201108,ANÁPOLIS,386923,2020-03-18,21,2,11,3,2,0.07637170233,9.075968709
5201405,APARECIDA DE GOIÂNIA,578179,2020-03-18,21,1,4,0,0,0.01080229372,64.16666667
5208707,GOIÂNIA,1516113,2020-03-18,21,5,76,3,4,0.1332613294,5.201412769
5211909,JATAÍ,100882,2020-03-18,21,1,3,0,0,0.06372812058,10.87662988
5218805,RIO VERDE,235647,2020-03-18,21,3,8,0,0,0.04520738067,15.33261096
5300108,BRASÍLIA,3015268,2020-03-18,21,34,492,17,17,0.1177032432,5.88893867
5205109,CATALÃO,108823,2020-03-22,17,1,1,0,0,NA,NA
5221858,VALPARAÍSO DE GOIÁS,168468,2020-03-24,15,1,6,0,0.3,0.1150318584,6.025697493
5212501,LUZIÂNIA,208299,2020-03-25,14,1,6,0,1.7,0.09451038959,7.33408447
5220603,SILVÂNIA,20695,2020-03-25,14,1,1,0,0,NA,NA
5200258,ÁGUAS LINDAS DE GOIÁS,212440,2020-03-28,11,1,1,0,0,NA,NA
5208608,GOIANÉSIA,70084,2020-03-28,11,1,5,4,1.3,0.07315626875,9.474884278
5211503,ITUMBIARA,104742,2020-03-30,9,2,2,0,0,NA,NA
5216304,PARANAIGUARA,10057,2020-03-31,8,1,1,0,0,NA,NA
5204508,CALDAS NOVAS,91162,2020-04-01,1,1,1,1,1,NA,NA
5204607,CAMPESTRE DE GOIÁS,3630,2020-04-01,7,1,1,0,0,NA,NA
5205497,CIDADE OCIDENTAL,71376,2020-04-01,7,1,2,1,0.3,0.07426576935,9.333333333
5221403,TRINDADE,127599,2020-04-01,7,1,1,0,0,NA,NA
5203500,BOM JESUS DE GOIÁS,25216,2020-04-03,5,1,1,0,0,NA,NA
5215009,NOVA VENEZA,9853,2020-04-03,5,1,1,0,0,NA,NA
5220108,SÃO LUÍS DE MONTES BELOS,33817,2020-04-03,5,1,2,1,0.3,0.1386294361,5
5220454,SENADOR CANEDO,115371,2020-04-03,5,1,1,0,0,NA,NA
5214861,NOVA GLÓRIA,8164,2020-04-07,1,1,1,1,1,NA,NA
5222005,VIANÓPOLIS,13863,2020-04-07,1,1,1,1,1,NA,NA
