,cd_geocmu,data,ordem_dia,localidade,novos_casos,MM7,variacao_per_MM7_14dias,tendencia_novos_casos
1,52,2020-03-12,1,GOIÁS,3,,,
2,5208707,2020-03-12,1,GOIÂNIA,2,,,
3,5218805,2020-03-12,1,RIO VERDE,1,,,
4,52,2020-03-13,2,GOIÁS,0,,,
5,5208707,2020-03-13,2,GOIÂNIA,0,,,
6,5218805,2020-03-13,2,RIO VERDE,0,,,
7,52,2020-03-14,3,GOIÁS,1,,,
8,5208707,2020-03-14,3,GOIÂNIA,1,,,
9,5218805,2020-03-14,3,RIO VERDE,0,,,
10,52,2020-03-15,4,GOIÁS,0,,,
11,5208707,2020-03-15,4,GOIÂNIA,0,,,
12,5218805,2020-03-15,4,RIO VERDE,0,,,
13,52,2020-03-16,5,GOIÁS,5,,,
14,5201108,2020-03-16,1,ANÁPOLIS,2,,,
15,5208707,2020-03-16,5,GOIÂNIA,2,,,
16,5218805,2020-03-16,5,RIO VERDE,1,,,
17,52,2020-03-17,6,GOIÁS,1,,,
18,5201108,2020-03-17,2,ANÁPOLIS,0,,,
19,5208707,2020-03-17,6,GOIÂNIA,0,,,
20,5218805,2020-03-17,6,RIO VERDE,1,,,
21,52,2020-03-18,7,GOIÁS,2,1.71,,
22,5201108,2020-03-18,3,ANÁPOLIS,0,,,
23,5201405,2020-03-18,1,APARECIDA DE GOIÂNIA,1,,,
24,5208707,2020-03-18,7,GOIÂNIA,0,0.71,,
25,5211909,2020-03-18,1,JATAÍ,1,,,
26,5218805,2020-03-18,7,RIO VERDE,0,0.43,,
27,5300108,2020-03-18,1,BRASÍLIA,34,,,
28,52,2020-03-19,8,GOIÁS,2,1.57,,
29,5201108,2020-03-19,4,ANÁPOLIS,0,,,
30,5201405,2020-03-19,2,APARECIDA DE GOIÂNIA,0,,,
31,5208707,2020-03-19,8,GOIÂNIA,2,0.71,,
32,5211909,2020-03-19,2,JATAÍ,0,,,
33,5218805,2020-03-19,8,RIO VERDE,0,0.29,,
34,5300108,2020-03-19,2,BRASÍLIA,8,,,
35,52,2020-03-20,9,GOIÁS,2,1.86,,
36,5201108,2020-03-20,5,ANÁPOLIS,0,,,
