,cd_geocmu,data,ordem_dia,localidade,novos_obitos,MM7,variacao_per_MM7_14dias,tendencia_novos_obitos
1,52,2020-03-24,1,GOIÁS,1,,,
2,5212501,2020-03-24,1,LUZIÂNIA,1,,,
3,52,2020-03-25,2,GOIÁS,0,,,
4,5212501,2020-03-25,2,LUZIÂNIA,0,,,
5,52,2020-03-26,3,GOIÁS,0,,,
6,5212501,2020-03-26,3,LUZIÂNIA,0,,,
7,52,2020-03-27,4,GOIÁS,0,,,
8,5212501,2020-03-27,4,LUZIÂNIA,0,,,
9,52,2020-03-28,5,GOIÁS,1,,,
10,5212501,2020-03-28,5,LUZIÂNIA,0,,,
11,5221858,2020-03-28,1,VALPARAÍSO DE GOIÁS,1,,,
12,52,2020-03-29,6,GOIÁS,0,,,
13,5212501,2020-03-29,6,LUZIÂNIA,0,,,
14,5221858,2020-03-29,2,VALPARAÍSO DE GOIÁS,0,,,
15,52,2020-03-30,7,GOIÁS,0,0.29,,
16,5212501,2020-03-30,7,LUZIÂNIA,0,0.14,,
17,5221858,2020-03-30,3,VALPARAÍSO DE GOIÁS,0,,,
18,52,2020-03-31,8,GOIÁS,1,0.29,,
19,5208608,2020-03-31,1,GOIANÉSIA,1,,,
20,5212501,2020-03-31,8,LUZIÂNIA,0,0,,
21,5221858,2020-03-31,4,VALPARAÍSO DE GOIÁS,0,,,
22,52,2020-04-01,9,GOIÁS,1,0.43,,
23,5208608,2020-04-01,2,GOIANÉSIA,0,,,
24,5208707,2020-04-01,1,GOIÂNIA,1,,,
25,5212501,2020-04-01,9,LUZIÂNIA,0,0,,
26,5221858,2020-04-01,5,VALPARAÍSO DE GOIÁS,0,,,
27,52,2020-04-02,10,GOIÁS,1,0.57,,
28,5208509,2020-04-02,1,GOIANDIRA,1,,,
29,5208608,2020-04-02,3,GOIANÉSIA,0,,,
30,5208707,2020-04-02,2,GOIÂNIA,0,,,
31,5212501,2020-04-02,10,LUZIÂNIA,0,0,,
32,5221858,2020-04-02,6,VALPARAÍSO DE GOIÁS,0,,,
33,52,2020-04-03,11,GOIÁS,1,0.71,,
34,5208509,2020-04-03,2,GOIANDIRA,0,,,
35,5208608,2020-04-03,4,GOIANÉSIA,0,,,
36,5208707,2020-04-03,3,GOIÂNIA,1,,,
37,5212501,2020-04-03,11,LUZIÂNIA,0,0,,
38,5221858,2020-04-03,7,VALPARAÍSO DE GOIÁS,0,0.14,,
39,52,2020-04-04,12,GOIÁS,2,0.86,,
40,5208509,2020-04-04,3,GOIANDIRA,0,,,
41,5208608,2020-04-04,5,GOIANÉSIA,0,,,
42,5208707,2020-04-04,4,GOIÂNIA,2,,,
43,5212501,2020-04-04,12,LUZIÂNIA,0,0,,
44,5221858,2020-04-04,8,VALPARAÍSO DE GOIÁS,0,0,,
45,52,2020-04-05,13,GOIÁS,3,1.29,,
46,5208509,2020-04-05,4,GOIANDIRA,0,,,
47,5208608,2020-04-05,6,GOIANÉSIA,0,,,
48,5208707,2020-04-05,5,GOIÂNIA,2,,,
49,5212501,2020-04-05,13,LUZIÂNIA,0,0,,
50,5216403,2020-04-05,1,PARAÚNA,1,,,
51,5221858,2020-04-05,9,VALPARAÍSO DE GOIÁS,0,0,,
52,52,2020-04-06,14,GOIÁS,1,1.43,,
53,5208509,2020-04-06,5,GOIANDIRA,0,,,
54,5208608,2020-04-06,7,GOIANÉSIA,0,0.14,,
55,5208707,2020-04-06,6,GOIÂNIA,0,,,
56,5212501,2020-04-06,14,LUZIÂNIA,0,0,,
57,5216403,2020-04-06,2,PARAÚNA,0,,,
58,5217401,2020-04-06,1,PIRES DO RIO,1,,,
59,5221858,2020-04-06,10,VALPARAÍSO DE GOIÁS,0,0,,
60,52,2020-04-07,15,GOIÁS,2,1.57,,
61,5201405,2020-04-07,1,APARECIDA DE GOIÂNIA,1,,,
62,5208509,2020-04-07,6,GOIANDIRA,0,,,
63,5208608,2020-04-07,8,GOIANÉSIA,1,0.14,,
64,5208707,2020-04-07,7,GOIÂNIA,0,0.86,,
65,5212501,2020-04-07,15,LUZIÂNIA,0,0,,
66,5216403,2020-04-07,3,PARAÚNA,0,,,
67,5217401,2020-04-07,2,PIRES DO RIO,0,,,
68,5221858,2020-04-07,11,VALPARAÍSO DE GOIÁS,0,0,,
69,52,2020-04-08,16,GOIÁS,1,1.57,,
70,5201405,2020-04-08,2,APARECIDA DE GOIÂNIA,1,,,
71,5208509,2020-04-08,7,GOIANDIRA,0,0.14,,
72,5208608,2020-04-08,9,GOIANÉSIA,0,0.14,,
73,5208707,2020-04-08,8,GOIÂNIA,0,0.71,,
74,5212501,2020-04-08,16,LUZIÂNIA,0,0,,
75,5216403,2020-04-08,4,PARAÚNA,0,,,
76,5217401,2020-04-08,3,PIRES DO RIO,0,,,
77,5221858,2020-04-08,12,VALPARAÍSO DE GOIÁS,0,0,,
78,52,2020-04-09,17,GOIÁS,0,1.43,,
79,5201405,2020-04-09,3,APARECIDA DE GOIÂNIA,0,,,
80,5208509,2020-04-09,8,GOIANDIRA,0,0,,
81,5208608,2020-04-09,10,GOIANÉSIA,0,0.14,,
82,5208707,2020-04-09,9,GOIÂNIA,0,0.71,,
83,5212501,2020-04-09,17,LUZIÂNIA,0,0,,
84,5216403,2020-04-09,5,PARAÚNA,0,,,
85,5217401,2020-04-09,4,PIRES DO RIO,0,,,
86,5221858,2020-04-09,13,VALPARAÍSO DE GOIÁS,0,0,,
87,52,2020-04-10,18,GOIÁS,1,1.43,,
88,5201405,2020-04-10,4,APARECIDA DE GOIÂNIA,0,,,
89,5208509,2020-04-10,9,GOIANDIRA,0,0,,
90,5208608,2020-04-10,11,GOIANÉSIA,0,0.14,,
91,5208707,2020-04-10,10,GOIÂNIA,1,0.71,,
92,5212501,2020-04-10,18,LUZIÂNIA,0,0,,
93,5216403,2020-04-10,6,PARAÚNA,0,,,
94,5217401,2020-04-10,5,PIRES DO RIO,0,,,
