,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
1,Obs,1,03/18/2020,52,GOIÁS,12,NA,NA,NA,NA
2,Obs,1,03/18/2020,5201108,ANÁPOLIS,2,NA,NA,NA,NA
3,Obs,1,03/18/2020,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
4,Obs,1,03/18/2020,5208707,GOIÂNIA,5,NA,NA,NA,NA
5,Obs,1,03/18/2020,5211909,JATAÍ,1,NA,NA,NA,NA
6,Obs,1,03/18/2020,5218805,RIO VERDE,3,NA,NA,NA,NA
7,Obs,1,03/18/2020,5300108,BRASÍLIA,34,NA,NA,NA,NA
8,Obs,2,03/19/2020,52,GOIÁS,14,NA,NA,NA,NA
9,Obs,2,03/19/2020,5201108,ANÁPOLIS,2,NA,NA,NA,NA
10,Obs,2,03/19/2020,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
11,Obs,2,03/19/2020,5208707,GOIÂNIA,7,NA,NA,NA,NA
12,Obs,2,03/19/2020,5211909,JATAÍ,1,NA,NA,NA,NA
13,Obs,2,03/19/2020,5218805,RIO VERDE,3,NA,NA,NA,NA
14,Obs,2,03/19/2020,5300108,BRASÍLIA,42,NA,NA,NA,NA
15,Obs,3,03/20/2020,52,GOIÁS,16,NA,NA,NA,NA
16,Obs,3,03/20/2020,5201108,ANÁPOLIS,2,NA,NA,NA,NA
17,Obs,3,03/20/2020,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
18,Obs,3,03/20/2020,5208707,GOIÂNIA,9,NA,NA,NA,NA
19,Obs,3,03/20/2020,5211909,JATAÍ,1,NA,NA,NA,NA
20,Obs,3,03/20/2020,5218805,RIO VERDE,3,NA,NA,NA,NA
21,Obs,3,03/20/2020,5300108,BRASÍLIA,87,NA,NA,NA,NA
22,Obs,4,03/21/2020,52,GOIÁS,18,NA,NA,NA,NA
23,Obs,4,03/21/2020,5201108,ANÁPOLIS,2,NA,NA,NA,NA
24,Obs,4,03/21/2020,5201405,APARECIDA DE GOIÂNIA,1,NA,NA,NA,NA
25,Obs,4,03/21/2020,5208707,GOIÂNIA,9,NA,NA,NA,NA
