gid,id,nm_bai,nome
1,400045987,Colorado Sul,Jd. Colorado Sul
105,400046335,,Gleba
106,400046334,,Gleba
107,400046333,,Gleba
108,400046332,,Gleba
216,400025692,,Gleba
111,400046363,,Gleba
112,400046190,,Gleba
113,400046306,,Gleba
114,400046380,,Gleba
812,400046552,,Gleba
43,400046566,,Gleba
53,400045916,Recanto do Bosque,Res. Recanto do Bosque
61,400006392,Santa Genoveva,Santa Genoveva
74,400046343,,Gleba
102,400046338,,Gleba
118,400046218,,Gleba
245,400046362,,Gleba
148,400046259,,Gleba
159,400046510,,Gleba
178,400005992,dos Oficiais,Vila dos Oficiais
179,400036592,Bom Retiro,Chácara Bom Retiro
814,400006992,Yara,Cjr Yara
815,400012992,Leste Universitário,Setor Leste Universitário
823,400046643,,Gleba
186,400046233,,Gleba
228,400046361,,Gleba
310,400046526,Português,Res. Português
619,400046534,,Gleba
341,400025792,Mooca,Vila Mooca
352,400046625,Santa Cruz,Vila Santa Cruz
379,400045930,14 Bis,Res. 14 Bis
382,400036292,Setor Amin Camargo,Cond. Setor Amin Camargo
391,400045956,Asa Branca,Setor Asa Branca
655,400046581,,Gleba
656,400046579,,Gleba
657,400046578,,Gleba
424,400046186,Ana Moraes,Res. Ana Moraes
437,400045976,Noroeste,Res. Noroeste
459,400046166,Portinari,Res. Portinari
470,400046099,Anhangüera,Cond. Anhanguera
478,400045994,Santa Rita - 6a etapa,Cond. Santa Rita - 6a etapa
487,400016192,Campinas,Setor Campinas
608,400046489,,Gleba
115,400046376,,Gleba
116,400046530,,Gleba
130,400046528,,Gleba
206,400046490,,Gleba
600,400046501,,Gleba
117,400046285,,Gleba
119,400046093,,Gleba
120,400046217,,Gleba
121,400045992,,Gleba
122,400046237,,Gleba
123,400046219,,Gleba
124,400028192,,Gleba
125,400046359,,Gleba
218,400045906,,Gleba
126,400046308,,Gleba
177,400046212,,Gleba
517,400046129,Oeste Industrial Extensão,Parque Oeste Industrial Extensão
526,400045979,Atalaia,Res. Atalaia
538,400046102,Nunes de Morais 3ª Etapa,Res. Nunes de Morais 3a Etapa
556,400046067,Park Solar,Res. Park Solar
255,400046027,Mendanha,Res. Mendanha
257,400046397,Verona,Jd. Verona
462,400045961,Olinda,Res. Olinda
263,400045951,São Leopoldo - Complemento,Res. São Leopoldo - Complemento
534,400012492,Sonho Verde,Res. Sonho Verde
570,400022892,Legionárias,Vila Legionárias
589,400046455,Mundo Novo 1,Res. Mundo Novo 1
615,400046559,,Gleba
616,400046558,,Gleba
621,400046192,,Gleba
624,400046594,Gleba B,Gleba
625,400046553,,Gleba
626,400046239,,Gleba
628,400046493,,Gleba
644,400046325,,Gleba
596,400046264,Santa Rita Irregular,Cond. Santa Rita Irregular
622,400046655,,Gleba
632,400046304,Gleba C,Gleba
639,400046565,,Gleba
646,400046181,,Gleba
641,400035192,Recreio Panorama,Recreio Panorama
651,400046633,,Gleba
654,400046583,,Gleba
660,400046541,,Gleba
511,400046533,Paraiso Tropical,Sir Paraíso Tropical
673,400046612,,Gleba
